Domain,L0,Time Used,Time
gitlab.com,Work,14,2017-02-13T19:53:26.271Z
gitlab.com,Work,2,2017-02-13T19:53:11.882Z
gitlab.com,Work,1,2017-02-13T19:53:10.339Z
gitlab.com,Work,12,2017-02-13T19:52:58.725Z
gitlab.com,Work,2,2017-02-13T19:52:56.203Z
gitlab.com,Work,12,2017-02-13T19:52:44.169Z
gitlab.com,Work,4,2017-02-13T19:52:39.701Z
gitlab.com,Work,5,2017-02-13T19:52:35.170Z
gitlab.com,Work,13,2017-02-13T19:52:22.567Z
gitlab.com,Work,1,2017-02-13T19:51:34.205Z
gitlab.com,Work,5,2017-02-13T19:51:28.492Z
ted.com,Fun,2,2017-02-13T19:51:26.080Z
yelp.com,Find,3,2017-02-13T19:51:22.814Z
linkedin.com,Social,1,2017-02-13T19:51:20.502Z
freelancer.com,Work,3,2017-02-13T19:51:17.734Z
gitlab.com,Work,15,2017-02-13T19:50:30.964Z
gitlab.com,Work,10,2017-02-13T19:50:10.180Z
gitlab.com,Work,9,2017-02-13T19:50:01.619Z
gitlab.com,Work,5,2017-02-13T19:49:56.118Z
gitlab.com,Work,80,2017-02-13T19:48:35.811Z
mail.google.com,Comms,1,2017-02-13T19:48:34.587Z
airbnb.io,Other,600,2017-02-13T19:48:31.044Z
freelancer.com,Work,3,2017-02-13T19:48:27.854Z
gitlab.com,Work,25,2017-02-13T19:47:56.722Z
mail.google.com,Comms,2,2017-02-13T19:47:55.169Z
gitlab.com,Work,19,2017-02-13T19:47:36.206Z
mail.google.com,Comms,2,2017-02-13T19:47:34.308Z
mail.google.com,Comms,2,2017-02-13T19:47:31.911Z
gitlab.com,Work,6,2017-02-13T19:47:25.623Z
mail.google.com,Comms,2,2017-02-13T19:47:21.112Z
mail.google.com,Comms,2,2017-02-13T19:47:19.460Z
mail.google.com,Comms,2,2017-02-13T19:47:17.541Z
mail.google.com,Comms,8,2017-02-13T19:46:47.214Z
mail.google.com,Comms,8,2017-02-13T19:46:39.537Z
airbnb.io,Other,125,2017-02-13T19:46:26.181Z
freelancer.com,Work,2,2017-02-13T19:46:11.187Z
freelancer.com,Work,63,2017-02-13T19:44:48.059Z
freelancer.com,Work,50,2017-02-13T19:43:57.808Z
linkedin.com,Social,133,2017-02-13T19:41:44.274Z
linkedin.com,Social,4,2017-02-13T19:41:39.985Z
linkedin.com,Social,2,2017-02-13T19:41:38.000Z
linkedin.com,Social,3,2017-02-13T19:41:34.665Z
google.com,Find,24,2017-02-13T19:41:10.932Z
google.com,Find,59,2017-02-13T19:40:10.156Z
yelp.com,Find,2,2017-02-13T19:40:02.287Z
yelp.com,Find,1,2017-02-13T19:40:00.741Z
tofoo-com-chay.com,Other,5,2017-02-13T19:39:53.393Z
tofoo-com-chay.com,Other,2,2017-02-13T19:39:51.008Z
tofoo-com-chay.com,Other,5,2017-02-13T19:39:45.290Z
yelp.com,Find,2,2017-02-13T19:39:43.552Z
vegetarianhouse.us,Other,16,2017-02-13T19:39:27.390Z
vegetarianhouse.us,Other,5,2017-02-13T19:39:22.410Z
yelp.com,Find,3,2017-02-13T19:39:19.033Z
goodkarmasj.com,Other,1,2017-02-13T19:39:04.877Z
yelp.com,Find,3,2017-02-13T19:39:01.845Z
yelp.com,Find,3,2017-02-13T19:39:01.040Z
yelp.com,Find,4,2017-02-13T19:38:56.837Z
yelp.com,Find,10,2017-02-13T19:38:55.168Z
yelp.com,Find,8,2017-02-13T19:38:47.470Z
yelp.com,Find,11,2017-02-13T19:38:36.405Z
yelp.com,Find,18,2017-02-13T19:38:18.599Z
yelp.com,Find,29,2017-02-13T19:37:49.135Z
yelp.com,Find,24,2017-02-13T19:37:24.801Z
yelp.com,Find,3,2017-02-13T19:37:21.488Z
yelp.com,Find,59,2017-02-13T19:36:22.768Z
linkedin.com,Social,8,2017-02-13T19:28:46.494Z
yelp.com,Find,27,2017-02-13T19:27:56.619Z
airbnb.io,Other,600,2017-02-13T19:27:49.438Z
csouffrantntim.com,Other,1,2017-02-13T19:27:38.805Z
airbnb.io,Other,11,2017-02-13T19:27:38.475Z
nmdrp.me,Other,2,2017-02-13T19:27:30.978Z
airbnb.io,Other,1,2017-02-13T19:27:23.352Z
mail.google.com,Comms,4,2017-02-13T19:27:18.765Z
mail.google.com,Comms,11,2017-02-13T19:24:34.706Z
mail.google.com,Comms,5,2017-02-13T19:24:29.773Z
mail.google.com,Comms,2,2017-02-13T19:24:27.593Z
mail.google.com,Comms,2,2017-02-13T19:24:25.858Z
mail.google.com,Comms,4,2017-02-13T19:24:21.400Z
mail.google.com,Comms,1,2017-02-13T19:24:18.837Z
